step,portfolio_value
0,10000.0
1,9990.584802551271
2,10012.277331573488
3,10229.882312042238
4,10102.809398529054
5,10196.567821380617
6,10181.41218173218
7,10184.22907626343
8,10101.753612396242
9,10089.415965911867
10,9948.77888095093
11,9724.95661532593
12,10428.145336029054
13,10761.584789154054
14,10847.235301849367
15,10787.315868255617
16,10782.029247161867
17,10746.43024813843
18,10782.029247161867
19,10966.724803802492
20,10896.227733489992
21,10838.070506927492
22,11025.235790130617
23,10947.688793060304
24,10907.510692474367
25,10924.779003021242
26,11005.143993255617
27,11108.998851654054
28,11268.66315829468
29,11262.305370208742
30,11362.62702548218
31,11153.507762786867
32,11103.699046966554
33,11530.066356536867
34,11776.276561614992
35,11716.932811614992
36,11617.317577239992
37,11765.32429110718
38,11864.942821380617
39,11884.017284271242
40,11804.184032318117
41,11440.342113372804
42,11506.752269622804
43,11560.79841220093
44,11739.538280364992
45,11825.732616302492
46,11933.47224032593
47,12313.56403720093
48,12109.740184661867
49,11958.550731536867
50,11799.94440829468
51,12017.19245516968
52,11851.51862704468
53,11624.735545989992
54,11835.622508880617
55,11880.837840911867
56,11852.581004974367
57,12046.509471771242
58,11956.432567474367
59,11962.083934661867
60,12072.296581146242
61,11929.232616302492
62,11738.831859466554
63,11761.441722747804
64,11928.527294036867
65,12121.396678802492
66,12212.535961029054
67,12229.844920989992
68,12715.90974032593
69,12560.126903411867
70,12270.114208099367
71,12160.606883880617
72,12207.943675872804
73,12415.29743563843
74,11948.65974032593
75,11699.62604891968
76,11969.856761810304
77,11883.311962005617
78,11898.146800872804
79,11585.879100677492
80,11556.205028411867
81,11595.768993255617
82,11678.076366302492
83,11534.657543060304
84,11399.720165130617
85,11424.445995208742
86,11356.621898529054
87,11463.656200286867
88,11386.648631927492
89,11359.03669345093
90,11234.433055755617
91,11220.271678802492
92,11411.427196380617
93,11431.960643646242
94,11592.673045989992
95,11343.815135833742
96,11450.369335052492
97,11475.855419036867
98,11642.58503329468
99,11656.03669345093
100,11619.577464935304
101,11651.436717864992
102,11824.537303802492
103,11800.821117279054
104,11695.685253021242
105,11850.025585052492
106,11979.941112396242
107,11761.52741610718
108,11913.390331146242
109,12006.844432708742
110,11706.659496185304
111,11665.59479891968
112,11651.080760833742
113,11372.134593841554
114,11328.23981845093
115,11239.03522860718
116,11257.797679779054
117,11066.638866302492
118,11089.649730560304
119,11119.740184661867
120,11194.431835052492
121,11408.596019622804
122,11110.889598724367
123,11308.06452548218
124,11322.221507904054
125,11601.877391693117
126,11692.49811923218
127,11641.87751376343
128,11784.538280364992
129,11739.933788177492
130,11618.515087005617
131,11792.323192474367
132,11771.794139739992
133,11702.764842864992
134,11745.598338958742
135,11580.99128329468
136,11674.798045989992
137,11717.631542083742
138,12076.58015048218
139,11624.178539154054
140,11692.14655673218
141,11957.638866302492
142,11985.958324310304
143,12267.735668060304
144,12347.385448333742
145,12505.973094818117
146,12638.015575286867
147,12779.611766693117
148,12874.12604891968
149,12785.274120208742
150,13103.162425872804
151,12997.316844818117
152,13124.397899505617
153,13129.721874114992
154,13360.283153411867
155,13136.104930755617
156,13405.330394622804
157,13250.320995208742
158,13419.87409579468
159,13404.97663485718
160,13446.831249114992
161,13591.909007904052
162,13455.345653411867
163,13457.47370516968
164,13301.400829193117
165,13110.92097079468
166,13230.811473724367
167,13098.860179779052
168,13175.123973724367
169,13291.469188568117
170,13187.536327239992
